test,sample1,sample1,sample1,sample2,sample2,sample2,sample3,sample3,R=10mm,H=26.7mm,t=0.56mm
dv (ml),p (kpa),p2,p3,p1,p2,p3,p2,p3,,,
0.435555556,-0.841985653,-1.243000318,-0.848486948,-0.974291839,-1.240450639,-0.916011142,-0.971533503,-0.450221535,,,
0.44,-0.908924284,-1.300030458,-0.714556382,-0.974291839,-0.976056399,-0.841393563,-0.576679251,-0.785555009,,,
0.444444444,-0.781949331,-0.972113178,-0.975206159,-0.910896849,-1.110125751,-1.299898949,-0.256387879,-0.71494846,,,
0.448888889,-0.908924284,-0.972113178,-0.7815554,-0.710298873,-1.501100416,-0.852812721,-0.587704278,-0.462034822,,,
0.453333333,-0.908924284,-0.915879898,-1.102181111,-0.900660083,-1.370775528,-0.781949331,-1.296031578,-0.390974666,,,
0.457777778,-0.648011488,-0.915879898,-1.235855936,-0.576229521,-1.173515489,-1.169442552,-0.968246006,-0.390974666,,,
0.462222222,-0.908924284,-1.303248886,-0.774197977,-0.319324207,-1.106512796,-1.042599108,-0.781161866,-0.781949331,,,
0.466666667,-0.845404791,-1.172923997,-0.584231493,-0.710298873,-1.247392515,-0.908529756,-0.520774577,-0.778336377,,,
0.471111111,-0.975795401,-1.169574061,-1.102181111,-0.520512485,-1.374118717,-1.232960319,-0.327448035,-0.647879979,,,
0.475555556,-0.591966177,-0.915879898,-1.105531047,-0.63961558,-1.758794784,-1.113068964,-0.841142893,-0.52516772,,,
0.48,-0.651624443,-0.781949331,-0.904720228,-0.583710906,-1.303906099,-1.109532472,-0.707201503,-0.260649777,,,
0.484444444,-0.711463401,-1.306460831,-1.045479247,-0.583710906,-1.431009213,-0.852812721,-0.315634747,-0.319699283,,,
0.488888889,-0.781949331,-1.303248886,-1.03524248,-0.90749147,-1.631425305,-1.042599108,-0.647362544,-0.521299554,,,
0.493333333,-0.521299554,-0.592359711,-1.165764732,-0.844098195,-1.039442457,-1.299898949,-0.650968222,-0.331906701,,,
