Test ,2folds_sample2_20220701_1753,2folds_sample2_20220701_1747,2folds_sample2_20220701_1743,2folds_sample1_20220701_1737,2folds_sample1_20220701_1723,2folds_sample0_20220701_1719,2folds_sample0_20220701_1713
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0.54,-2.674160364,-2.671464823,-3.062570931,-2.47440347,-2.867078389,-2.472309029,-2.740496904
0.545,-2.804942351,-2.671464823,-2.932180321,-2.408913893,-2.54094592,-2.5377991,-2.282527755
0.55,-2.608670293,-2.540551194,-2.801789711,-2.604402703,-2.671468172,-2.472766689,-2.805008139
0.555,-2.283379911,-2.997347892,-3.192961541,-2.018527474,-2.411205634,-2.213291954,-2.153055089
0.56,-2.740234151,-2.671464823,-2.541661833,-1.888202585,-2.932512676,-2.538581066,-2.740496904
0.565,-2.218610024,-2.802114645,-2.801789711,-2.279177251,-2.541205656,-2.668581088,-2.805008139
0.57,-2.740234151,-2.476172883,-2.605909525,-2.410089201,-2.73682266,-2.668581088,-2.805398727
0.575,-2.609584689,-2.997534521,-2.73682266,-2.279177251,-2.932377485,-2.668581088,-2.544226919
0.58,-2.348934912,-2.932117949,-2.867472121,-2.410089201,-2.997673245,-2.276754597,-2.282527755
0.585,-2.479259801,-3.258524236,-2.801789711,-2.082313696,-2.541205656,-2.147803366,-2.805008139
0.59,-2.47808212,-2.932246043,-2.410617882,-2.34401286,-2.932377485,-2.341720857,-2.283445699
0.595,-2.479846862,-3.193027263,-2.541661833,-2.60479408,-2.801986876,-2.015710094,-2.675139494
0.6,-2.608670293,-3.062636653,-2.671399101,-2.149701912,-2.932377485,-2.015710094,-2.153055089
0.605,-2.674551741,-2.73682266,-2.409831579,-2.279177251,-3.062501801,-2.146232345,-2.805008139
0.61,-2.869846637,-3.062640201,-2.409831579,-2.34401286,-2.410815046,-2.668581088,-2.869714863
0.615,-2.413115861,-2.802114645,-2.801789711,-2.343358199,-2.736884744,-2.277409258,-2.413836309
0.62,-2.608670293,-2.671855411,-2.932439533,-2.47440347,-2.736884744,-2.473679243,-2.414621027
0.625,-2.47808212,-3.323417872,-2.73682266,-2.410089201,-2.867147548,-1.755846818,-2.544226919
0.63,-2.674551741,-3.062633111,-2.671399101,-2.21362225,-2.279901417,-2.147803366,-2.870365976
0.635,-3.000559355,-2.801595697,-2.997472437,-2.147148114,-2.54094592,-2.277409258,-2.282527755
0.64,-2.805201563,-3.062636653,-3.062570931,-2.277736287,-2.606497771,-2.408321833,-2.544226919
0.645,-2.869846637,-2.606953588,-2.476891188,-1.888202585,-2.410423669,-2.147018648,-2.73912669
0.65,-2.609584689,-2.541074213,-2.541008492,-2.082313696,-2.410423669,-2.080544512,-2.544226919
0.655,-2.348934912,-2.540551194,-2.737278477,-1.759120979,-2.671468172,-2.408321833,-2.870365976
0.66,-2.870427795,-2.671464823,-2.409831579,-2.21362225,-2.541205656,-2.602897202,-2.674617529
0.665,-2.804942351,-2.671073446,-2.735908263,-2.277736287,-2.47552177,-2.408321833,-2.477950346
0.67,-2.543638112,-3.127936064,-2.73682266,-2.473880451,-2.410815046,-2.08309831,-2.349915971
0.675,-2.478671555,-2.671464823,-3.192961541,-2.214406968,-2.867078389,-2.276754597,-2.47939131
0.68,-2.935332961,-3.062636653,-2.932439533,-2.34401286,-2.345847994,-2.5377991,-2.73958435
0.685,-2.740234151,-2.867340877,-2.801398334,-2.539827028,-2.671596266,-2.147803366,-2.544226919
0.69,-2.544161131,-3.127797325,-2.932180321,-2.474925435,-2.410815046,-2.473223426,-2.544226919
0.695,-2.674551741,-2.540551194,-3.062442838,-2.082313696,-2.345847994,-1.951923872,-2.413050006
0.7,-2.544161131,-2.671464823,-2.801789711,-2.084147734,-2.606304052,-2.277409258,-2.219722327
0.705,-2.479846862,-2.737147233,-2.606497771,-1.95284103,-2.47552177,-2.473223426,-2.675139494
0.71,-2.413770521,-2.801855433,-2.476891188,-2.670151917,-2.47552177,-2.080544512,-2.283445699
0.715,-2.413115861,-3.193027263,-2.73682266,-1.823629268,-2.867286287,-2.276754597,-2.282527755
0.72,-2.544161131,-2.73682266,-2.671921066,-2.410089201,-2.410815046,-2.212573649,-2.413050006
0.725,-2.413770521,-2.541074213,-2.476891188,-1.888202585,-2.345847994,-2.277409258,-2.414621027
0.73,-2.674551741,-2.801595697,-2.671399101,-2.34401286,-2.280424436,-2.015710094,-2.674617529
0.735,-2.935332961,-3.193027263,-2.801789711,-2.21362225,-2.671596266,-2.342310291,-2.805008139
0.74,-2.609584689,-2.737147233,-2.607084832,-2.214406968,-2.411205634,-2.407276849,-2.869714863
0.745,-2.609584689,-2.932117949,-2.541008492,-1.95284103,-2.606109942,-2.538190478,-2.805008139
0.75,-2.218610024,-2.73682266,-2.215523106,-2.474925435,-2.541205656,-2.5377991,-2.349915971
0.755,-2.610040507,-2.932246043,-2.541008492,-2.279895556,-2.150033826,-2.472309029,-2.282527755
0.76,-2.740234151,-2.801855433,-2.8021803,-1.951791444,-2.280424436,-2.407799868,-2.21775876
0.765,-2.869846637,-2.606497771,-2.607084832,-2.410089201,-2.214934859,-2.277409258,-2.805008139
0.77,-2.674551741,-2.932117949,-2.73682266,-2.147148114,-2.801986876,-2.147018648,-2.544226919
0.775,-2.348934912,-2.410683603,-2.476172883,-2.279177251,-2.73682266,-2.473223426,-2.414621027
0.78,-2.283379911,-2.997534521,-2.540353831,-2.34401286,-2.345847994,-2.343485599,-2.61030326
0.785,-2.348934912,-2.801595697,-2.670876083,-2.410089201,-2.411205634,-2.015710094,-2.805008139
0.79,-2.869846637,-2.540551194,-3.062698767,-2.34401286,-2.216110167,-2.341720857,-2.284361794
0.795,-2.935332961,-2.671855411,-2.410617882,-2.34401286,-2.279901417,-2.146232345,-2.805008139
0.8,-2.674551741,-2.932117949,-2.606497771,-2.082313696,-2.410815046,-2.538190478,-2.740041087
0.805,-2.739909578,-3.062633111,-2.932439533,-2.410089201,-2.47552177,-1.951923872,-2.544226919
0.81,-2.935332961,-2.932117949,-2.605320091,-1.823629268,-2.73676045,-2.08224876,-2.153055089
0.815,-2.804682616,-2.410683603,-2.997472437,-2.343358199,-2.346303811,-2.147018648,-2.608538518
0.82,-2.739909578,-2.997472437,-2.607084832,-2.343358199,-2.085916522,-2.146232345,-2.54488026
0.825,-2.674551741,-2.606497771,-2.606497771,-2.21362225,-2.018856913,-2.080544512,-2.674617529
0.83,-2.609584689,-2.345847994,-2.280227272,-2.408324459,-2.344933597,-2.147803366,-2.282527755
0.835,-2.739258465,-2.606497771,-2.541661833,-1.951791444,-2.411205634,-2.538190478,-2.349066421
0.84,-2.479259801,-2.671464823,-3.12767278,-2.279895556,-2.541205656,-2.538190478,-2.153055089
0.845,-3.00062144,-2.802114645,-2.605909525,-2.410089201,-2.410815046,-2.015710094,-2.153055089
0.85,-2.608670293,-2.932117949,-2.607084832,-2.082313696,-2.346303811,-1.886237428,-2.153055089
0.855,-2.544683096,-2.671464823,-2.736365923,-2.21362225,-2.214345425,-1.951923872,-2.477950346
0.86,-2.935332961,-2.866759719,-2.476172883,-2.149701912,-2.541205656,-2.147018648,-2.740041087
0.865,-2.609584689,-2.540551194,-2.541008492,-2.539827028,-2.215523106,-2.213291954,-2.480109615
0.87,-2.804682616,-2.932117949,-2.670876083,-2.149701912,-2.149379165,-2.211132685,-2.022664479
0.875,-2.804682616,-2.802114645,-3.062570931,-2.279177251,-2.216110167,-2.147018648,-2.543572258
0.88,-2.73958435,-2.671073446,-2.801789711,-1.82245042,-2.475847655,-2.5377991,-2.152005503
0.885,-2.935460796,-2.997347892,-2.931920586,-2.21362225,-2.410423669,-2.277409258,-2.218741533
