test,1,2,3,4,R=8mm,H=20mm,t=0.5mm
dv (ml),p (kpa),p,p,p,,,
0.2,-1.626636045,-1.759322046,-0.455679294,-0.520974326,,,
0.202222222,-1.235405311,-1.889712656,-0.846653959,-0.912412958,,,
0.204444444,-1.626636045,-1.433573774,-0.781427565,-0.847117095,,,
0.206666667,-1.56154808,-1.694223551,-0.846529414,-0.651624443,,,
0.208888889,-1.235730539,-1.759449881,-0.586328755,-1.238285377,,,
0.211111111,-1.626705204,-1.759577459,-0.976978848,-0.91220506,,,
0.213333333,-1.431153921,-1.434029591,-0.976909688,-0.977639347,,,
0.215555556,-1.431025828,-1.6286717,-0.846716044,-0.782011416,,,
0.217777778,-1.626705204,-2.085399025,-0.651296167,-0.781949331,,,
0.22,-1.95231869,-1.433573774,-0.976909688,-0.651430724,,,
0.222222222,-1.757030093,-1.82454844,-0.455679294,-0.586850229,,,
0.224444444,-1.496380316,-2.020103266,-0.585678954,-1.173589303,,,
0.226666667,-1.235730539,-1.498149449,-1.107303736,-0.977369239,,,
0.228888889,-1.56154099,-1.563898663,-0.716522399,-1.042599108,,,
0.231111111,-2.082577924,-1.954873328,-0.781299472,-0.651817771,,,
0.233333333,-1.822059457,-1.824610524,-0.65077722,-0.390517929,,,
0.235555556,-1.56154808,-1.303248886,-0.781427565,-0.521624127,,,
0.237777778,-1.757030093,-1.889716204,-0.455679294,-0.716594844,,,
0.24,-1.431025828,-1.563898663,-0.715941242,-0.91227422,,,
0.242222222,-2.01767987,-2.020103266,-0.651554857,-0.977504157,,,
0.244444444,-1.431409335,-1.694029832,-0.455679294,-0.91220506,,,
0.246666667,-1.366055427,-1.564223236,-1.237960942,-0.782011416,,,
0.248888889,-1.691935141,-1.759193952,-0.716522399,-1.108161599,,,
0.251111111,-2.083106971,-1.82454844,-0.781427565,-0.521299554,,,
0.253333333,-1.887023333,-1.759193952,-0.455679294,-0.586591539,,,
0.255555556,-1.626705204,-1.433573774,-1.172599395,-0.651624443,,,
0.257777778,-1.626774503,-1.889712656,-1.107303736,-0.781824786,,,
0.26,-1.561544531,-1.498149449,-0.716329071,-0.521299554,,,
0.262222222,-1.431409335,-1.563898663,-0.586328755,-1.042599108,,,
0.264444444,-1.822592583,-1.433117037,-1.042073867,-0.651817771,,,
