test,1,2,Test #,0321_1538,0321_1530,0321_1524,0321_1522,0321_1515,FEA,R=8mm,H=20mm,t=0.5mm
dv,p,p,dv,p (kps),p,p (0.7865),p (0.8486),p (1.173),dv,p,,
0.031888889,-0.517894675,-0.19903455,0.031111111,-0.515459084,-0.649393627,0.004192742,-0.453774072,0.521299554,0.55134,-0.671891,,
0.034166667,-0.386059553,-0.132756614,0.033333333,-0.258356541,-0.521299554,0.264973962,0.128162897,1.172923997,1.02689,-1.14562,,
0.036444444,-0.386059553,-0.068709662,0.035555556,-0.581608361,-0.521299554,0.134583352,-0.455350225,-0.521299554,1.16342,-1.31394,,
0.038722222,-0.975536777,-0.132756614,0.037777778,-0.909980984,-0.521299554,0.198630304,-0.456923202,-1.367232471,1.30521,-1.50199,,
0.041,-0.779723366,-0.002366004,0.04,-0.776635429,-0.521299554,0.006295463,-0.453774072,-0.518015603,1.52554,-1.82231,,
0.043277778,-0.323062784,0.059190747,0.042222222,-0.583316156,-0.652736481,0.132353492,-0.585740835,0.457449766,1.86595,-2.38444,,
0.045555556,-0.583712561,-0.137211845,0.044444444,-0.583316156,-0.585872278,0.066143424,-0.132224392,-1.759190603,1.87398,-2.39934,,
0.047833333,-0.778675895,-0.130522252,0.046666667,-1.104878596,-0.91227422,-0.254749041,-0.651624443,-0.132355636,1.88603,-2.42065,,
0.050111111,-0.715149488,0.130522252,0.048888889,-0.647690888,-0.846653498,-0.710886532,-0.522805325,-0.585675114,1.90411,-2.45211,,
0.052388889,-1.234748758,-1.696789273,0.051111111,-0.844097376,-0.58469105,-0.841474705,-0.848877377,-0.130324889,1.91089,-2.46394,,
0.054666667,-0.649464132,-0.656023407,0.053333333,-0.779656096,-0.58469105,0.786536402,-0.911159938,-0.585675114,1.92105,-2.48134,,
0.056944444,-0.71403745,-0.261044503,0.055555556,-0.776635429,-0.845735553,0.525755182,-0.779455232,-1.170956465,1.9363,-2.49894,,
0.059222222,-1.039457115,-0.329359439,0.057777778,-1.106057444,-0.846653498,-0.975405731,-0.846522055,-0.653130213,1.95059,-2.49669,,
0.0615,-0.711806634,-0.130522252,0.06,-0.781161866,-0.390974666,-0.715018442,-0.521299554,-0.522936569,1.96345,-2.40807,,
0.063777778,-0.909982599,-0.331390186,0.062222222,-0.779656096,-1.041879353,0.134583352,-1.043579902,-0.585675114,1.9755,-2.21035,,
0.066055556,-0.844362338,-0.523928444,0.064444444,-1.103697368,-0.781949331,-0.386979088,-0.781949331,-1.302397621,1.98634,-1.90384,,
0.068333333,-1.039457115,-0.261044503,0.066666667,-0.713706766,-0.846653498,-0.58029836,-1.108219369,-0.58409896,1.9965,-1.57687,,
0.070611111,-1.038670812,-0.46158383,0.068888889,-1.169516479,-0.58469105,0.070471771,-0.91227422,-1.106187967,2.00564,-1.36509,,
0.072888889,-1.038670812,-0.78313351,0.071111111,-1.104878596,-0.455481668,-0.258424208,-0.585740835,-0.58409896,2.01935,-1.31277,,
0.075166667,-1.103571151,-0.329359439,0.073333333,-1.364741872,-1.107434717,-0.256588478,-1.238478603,-0.585675114,2.03989,-1.58543,,
0.077444444,-0.71403745,-0.525764174,0.075555556,-0.842652865,-0.977044107,-0.58029836,-0.846522055,-1.758799226,2.0604,-1.88222,,
0.079722222,-0.974687227,-0.786282641,0.077777778,-0.973175117,-1.172923997,-0.454631153,-1.303248886,-0.91227422,2.08089,-2.0548,,
0.082,-1.430628944,-1.11130877,0.08,-1.171742799,-1.106780057,-0.518942675,-1.238478603,-0.781949331,2.10136,-2.10304,,
0.084277778,-1.105012116,-0.850658993,0.082222222,-1.626441036,-1.368215937,-0.449710187,-0.714818575,-0.58409896,2.12179,-2.07341,,
0.086555556,-0.648285285,-0.913655762,0.084444444,-1.625786375,-1.238347292,-0.779461142,-1.043579902,-1.301544637,2.1422,-2.01775,,
0.088833333,-1.169193064,-0.654319054,0.086666667,-1.235269206,-0.651624443,-0.256588478,-1.10638533,-1.563898663,2.17273,-1.97914,,
0.091111111,-1.300760299,-0.852164764,0.088888889,-1.235269206,-0.977828825,-0.647760308,-1.10638533,-1.304098435,2.21836,-2.01598,,
0.093388889,-0.909066505,-0.982358408,0.091111111,-1.171742799,-0.977044107,-0.779461142,-1.498997069,-1.236710219,2.28635,-2.09215,,
0.095666667,-1.169193064,-0.850658993,0.093333333,-1.691930316,-1.107434717,-0.517369698,-1.173773547,-0.585675114,2.31169,-2.12624,,
0.097944444,-0.90814856,-0.718693786,0.095555556,-1.625786375,-1.173511058,-0.515793544,-1.497952086,-2.411143653,2.34952,-2.17033,,
0.100222222,-1.039457115,-1.241633659,0.097777778,-1.756831646,-0.976257805,-0.908541527,-1.173773547,-1.304098435,2.40583,-2.23462,,
0.1025,-0.71403745,-1.242745697,0.1,-1.691930316,-1.303248886,-1.299713357,-0.913386258,-1.758799226,2.48919,-2.33258,,
0.104777778,-1.365661893,-1.239402843,0.102222222,-1.23421962,-0.845735553,-0.584824798,-1.303967191,-0.781949331,2.52006,-2.37027,,
0.107055556,-0.974687227,-0.978226498,0.104444444,-1.103697368,-0.651624443,-1.038932137,-1.498475104,-0.587248091,2.56596,-2.42418,,
0.109333333,-1.169847724,-1.175881493,0.106666667,-1.625786375,-0.845735553,-0.776838048,-1.10638533,-2.085198217,2.58304,-2.44683,,
0.111611111,-1.235337004,-1.044178014,0.108888889,-1.236316677,-0.91312377,-1.429449306,-1.434160835,-1.237628163,2.60851,-2.50937,,
0.113888889,-0.90814856,-0.720334104,0.111111111,-1.235269206,-1.368215937,-0.908541527,-1.303967191,-1.043711146,2.64637,-2.61256,,
0.116166667,-0.975536777,-0.784709664,0.113333333,-1.495264123,-0.715213301,-0.776838048,-1.628865714,-0.847766557,2.70237,-2.78108,,
0.118444444,-0.90814856,-1.306272103,0.115555556,-1.364741872,-1.107434717,-1.494415566,-1.238478603,-1.82454844,2.784426,-3.06465,,
0.120722222,-0.777626309,-1.239402843,0.117777778,-1.887222256,-1.498346812,-0.974293693,-1.563898663,-1.367232471,2.814561,-3.18143,,
0.123,-1.365661893,-1.372939341,0.12,-1.365659816,-1.303248886,-1.168404803,-1.171219749,-1.43213281,2.859078,-3.36591,,
0.125277778,-1.169193064,-1.242745697,0.122222222,-1.365659816,-1.173511058,-1.169322747,-1.172923997,-1.237628163,2.92424,-3.66155,,
0.127555556,-0.974687227,-1.567053323,0.124444444,-1.366575911,-1.237302308,-0.975405731,-1.497952086,-1.237628163,2.948155,-3.77695,,
0.129833333,-0.975536777,-1.305222517,0.126666667,-1.298988118,-1.302334489,-0.776838048,-1.563898663,-2.541534262,2.983478,-3.95268,,
0.132111111,-0.844362338,-1.371958547,0.128888889,-1.432130088,-1.173511058,-1.235793019,-1.172923997,-1.693309155,3.035186,-4.21556,,
0.134388889,-1.430628944,-1.240519376,0.131111111,-1.561605427,-1.303704703,-1.233239222,-1.368084494,-1.303248886,3.05417,-4.31324,,
0.136666667,-1.496311354,-1.175881493,0.133333333,-1.561605427,-1.368215937,-0.845212086,-1.629256303,-1.108285024,3.082222,-4.45476,,
0.138944444,-0.90814856,-1.502283436,0.135555556,-1.561605427,-0.716262888,-1.23494347,-1.172923997,-2.215523106,3.123323,-4.65743,,
0.141222222,-0.778675895,-1.436662713,0.137777778,-1.821340807,-1.173511058,-1.168404803,-1.237693885,-1.563898663,3.138428,-4.72966,,
0.1435,-1.169847724,-1.241633659,0.14,-1.366575911,-1.173511058,-1.560494577,-1.433573774,-1.042599108,3.160766,-4.83138,,
0.145777778,-0.909066505,-1.369991015,0.142222222,-1.756308627,-0.977044107,-0.715018442,-1.042599108,-0.783323858,3.169043,-4.86795,,
0.148055556,-0.974687227,-1.828356508,0.144444444,-1.757353611,-0.716262888,-1.561016542,-1.043579902,-2.215523106,3.181354,-4.91968,,
0.150333333,-1.365661893,-1.372939341,0.146666667,-1.756308627,-1.173511058,-1.430757309,-1.434160835,-1.237628163,3.199588,-4.99287,,
0.152611111,-1.299715315,-1.632608324,0.148888889,-1.23421962,-0.715213301,-1.365268358,-1.172072733,-1.433573774,3.226407,-5.09562,,
0.154888889,-1.234159324,-1.242745697,0.151111111,-1.690752635,-0.977828825,-1.169322747,-1.433573774,-1.237628163,3.265421,-5.24239,,
0.157166667,-0.975536777,-1.502283436,0.153333333,-1.364741872,-1.238347292,-1.430103967,-1.10638533,-1.43429208,3.27967,-5.31071,,
0.159444444,-1.169847724,-1.697443933,0.155555556,-1.430429274,-0.716262888,-1.298927055,-1.563898663,-1.368018773,3.300648,-5.44416,,
0.161722222,-1.105012116,-1.827311524,0.157777778,-1.626441036,-1.043317414,-0.975405731,-1.498475104,-1.628799993,3.308393,-5.50019,,
0.164,-1.039457115,-1.503132985,0.16,-1.691930316,-0.781949331,-1.430757309,-0.976912665,-1.433573774,3.311279,-5.52282,,
0.166277778,-1.365661893,-1.435744769,0.162222222,-1.756831646,-1.107434717,-1.038932137,-1.434160835,-0.845143464,3.316398,-5.56075,,
0.168555556,-1.365661893,-1.567053323,0.164444444,-1.42957629,-0.977044107,-1.104618581,-1.173773547,-1.954873328,3.320016,-5.58853,,
0.170833333,-1.365661893,-1.502283436,0.166666667,-1.496835144,-0.91312377,-1.299713357,-1.563898663,-1.694223551,3.325416,-5.632,,
0.173111111,-1.300238334,-1.762933213,0.168888889,-1.431280538,-0.782930125,-1.495593247,-1.562984266,-1.759581191,3.33345,-5.70114,,
0.175388889,-1.365661893,-1.697443933,0.171111111,-1.561605427,-0.977828825,-1.233239222,-1.433573774,-1.042599108,3.345356,-5.80784,,
0.177666667,-0.974687227,-1.500579188,0.173333333,-1.691342069,-0.782930125,-1.756243024,-1.172923997,-2.34564759,3.362885,-6.005,,
