p [kPa],Beta1 (deg),Beta2 (deg)
1.0884,7.460446782,3.514315448
1.0922,7.523049909,3.516237696
1.0959,7.635020434,3.509527273
1.0997,7.65660634,3.509527273
1.1034,7.666809711,3.548700043
1.1072,7.69776569,3.548700043
1.1109,7.831912072,3.607390623
1.1147,7.852869923,3.607390623
1.1184,7.88350827,3.65519968
1.1222,7.893537431,3.65519968
1.1259,7.966241883,3.697209801
1.1297,8.027545272,3.697209801
1.1334,8.069259526,3.707710992
1.1372,8.110638687,3.706245605
1.1410,8.234387033,3.712110378
1.1447,8.27567752,3.707710992
1.1485,8.327248885,3.749710375
1.1522,8.358113764,3.748237443
1.1560,8.430356083,3.746765051
1.1597,8.481984597,3.746765051
1.1635,8.574978741,3.769230128
1.1672,8.616784037,3.769230128
1.1710,8.647291709,3.796145791
1.1747,8.657419677,3.793182134
1.1785,8.812366177,3.826162365
1.1822,8.801408362,3.824675152
1.1860,8.946183172,3.856163267
1.1897,8.987815524,3.836660833
1.1935,9.080554166,3.904144657
1.1972,9.098301195,3.880146425
1.2010,9.213856281,3.934136158
1.2048,9.23633245,3.925144678
1.2085,9.421621456,3.916149428
1.2123,9.390262607,3.919160054
1.2160,9.513853332,3.97622986
1.2198,9.482907423,3.995725402
1.2235,9.58652228,4.009122627
1.2273,9.595436573,4.009122627
1.2310,9.679383777,4.028586911
1.2348,9.774634252,4.030111555
1.2385,9.906636966,4.004561654
1.2423,9.929624797,4.055472972
1.2460,9.969744303,4.076441273
1.2498,10.10459946,4.076441273
1.2535,10.0710602,4.077973635
1.2573,10.18584354,4.077973635
1.2611,10.19513519,4.106352088
1.2648,10.34170342,4.118667303
1.2686,10.43189813,4.174238762
1.2723,10.44297815,4.174238762
1.2761,10.60876745,4.186288822
1.2798,10.62939181,4.208840965
1.2836,10.62813207,4.196785832
1.2873,10.62939181,4.21465871
1.2911,10.83423046,4.238768165
1.2948,10.86513969,4.238768165
1.2986,10.93963337,4.268679504
1.3023,10.93725536,4.264461896
1.3061,11.11438589,4.317970668
1.3098,11.08924826,4.317970668
1.3136,11.27056153,4.32687566
1.3173,11.16488104,4.32687566
1.3211,11.36112514,4.340519304
1.3249,11.36333259,4.331614171
1.3286,11.53735558,4.378325287
1.3324,11.70826454,4.378325287
1.3361,11.71549793,4.42757461
1.3399,11.64702364,4.42757461
1.3436,11.77482099,4.470262553
1.3474,11.85911023,4.462232101
1.3511,12.02388667,4.484811607
1.3549,11.95180441,4.484811607
1.3586,12.09390704,4.526753718
1.3624,12.15980765,4.538856388
1.3661,12.31715827,4.570310601
1.3699,12.34223523,4.568686363
