beta2(deg),beta3_1(deg),beta3_2(deg),p_avervage (kpa)
1.298923016,1.847625257,1.384125121,-0.502
1.309787972,1.873178376,1.395546392,-0.652
1.321065004,1.88768134,1.41742566,-0.544
1.334915855,1.896733148,1.442663331,-0.610
1.351264464,1.903219875,1.46692797,-0.784
1.369380661,1.910456545,1.486307717,-0.696
1.389040534,1.923050618,1.492432313,-0.698
1.406734026,1.939550062,1.49446242,-0.566
1.420194682,1.959022348,1.496726944,-0.762
1.427875239,1.979508567,1.503270832,-0.588
1.425969764,1.996564167,1.521432006,-0.610
1.42075227,2.011139733,1.543492439,-0.675
1.415587071,2.022525086,1.565015318,-0.739
1.413337929,2.030510912,1.581244498,-0.849
1.418284791,2.034684672,1.583555075,-0.565
1.425718672,2.037010401,1.578389716,-0.870
1.43242911,2.038965754,1.569038405,-0.828
1.434847804,2.041981113,1.559801757,-0.761
1.427105991,2.046252043,1.556071944,-0.719
1.412604307,2.053850965,1.559214739,-0.806
1.393242339,2.06518648,1.570243296,-0.589
1.372044114,2.079804201,1.588461607,-0.871
1.35209467,2.096243242,1.611449862,-0.763
1.337423389,2.1130597,1.636326129,-0.718
1.330762143,2.128401618,1.659637281,-0.501
1.333407225,2.140653856,1.678358304,-0.674
1.347094289,2.146724285,1.688557967,-0.893
1.36662433,2.149856492,1.693106188,-0.719
1.388222186,2.151793053,1.694177129,-0.611
1.408522653,2.154448187,1.694749453,-0.371
1.419892875,2.159484879,1.6975075,-0.501
1.430857215,2.16794006,1.705661626,-0.676
1.445062623,2.180149036,1.720882965,-0.762
1.46542969,2.195755585,1.743309421,-0.762
1.497143716,2.213068834,1.772169191,-0.870
1.531722534,2.232380145,1.803621594,-0.479
1.563126357,2.253100731,1.83388573,-0.805
1.584905626,2.274787095,1.859446582,-0.718
1.58983989,2.294433636,1.874691863,-0.719
1.578618864,2.31650976,1.883836046,-0.741
1.553067906,2.342334147,1.889141676,-1.023
1.518172799,2.372248835,1.893391949,-0.805
1.47523495,2.407843662,1.900218512,-0.696
1.44226966,2.442701288,1.909491989,-0.805
1.429552137,2.472568157,1.921172607,-0.979
1.442903784,2.493914033,1.934307941,-0.958
1.493811805,2.499030531,1.946178861,-0.740
1.556792574,2.497795731,1.957090777,-0.610
1.61532771,2.495430434,1.966281998,-0.588
1.654598689,2.4969626,1.97337153,-0.849
1.648386048,2.509975519,1.97650522,-0.804
1.623180996,2.529006459,1.97946958,-0.740
1.593743276,2.55084591,1.98413828,-0.979
1.575894352,2.571503192,1.991918858,-1.087
1.596961126,2.582106436,2.004841196,-0.479
1.638463414,2.589170118,2.02010162,-0.652
1.691357809,2.594979002,2.035779541,-0.849
1.743794758,2.602232951,2.049964555,-0.763
1.772228736,2.61483598,2.057261579,-0.674
1.788717049,2.631398815,2.063823603,-1.065
1.796136295,2.65107453,2.072085154,-1.109
1.799255469,2.672169457,2.084035029,-0.653
1.809234017,2.69042237,2.103509671,-0.936
1.819592792,2.707414094,2.125190046,-0.805
1.828954943,2.722764566,2.145930584,-0.913
1.835392935,2.736368949,2.162732944,-1.023
1.832748121,2.74715941,2.168630053,-0.848
1.827742661,2.757406854,2.171425007,-0.741
1.823190736,2.768111013,2.174828142,-0.718
1.821953816,2.779950655,2.182450802,-0.848
1.827268445,2.791952819,2.19931463,-0.805
1.838627299,2.80564713,2.222008824,-0.805
1.855372305,2.820803106,2.248126874,-1.065
1.875878122,2.836637433,2.274381702,-0.784
1.897137824,2.85245564,2.294622067,-0.806
1.918265085,2.866524329,2.311022565,-0.827
1.937837071,2.878018785,2.323820803,-0.849
1.955032992,2.88708012,2.334092711,-0.740
1.96756994,2.889017323,2.342072512,-0.892
1.97957175,2.89562497,2.351629965,-0.849
1.993074313,2.912166648,2.364789504,-0.761
2.009539868,2.94166975,2.382510595,-1.088
2.030099155,2.990474392,2.406001559,-0.936
2.05248359,3.04394732,2.43109967,-0.914
2.074127063,3.092451219,2.454673725,-0.979
2.091936623,3.12724059,2.473975266,-1.174
2.102376991,3.132193203,2.482423189,-0.762
2.104648196,3.123646985,2.488204148,-0.979
2.098709047,3.110475228,2.495299173,-0.632
2.086226171,3.102260111,2.507352897,-0.828
2.066000219,3.113678402,2.530066827,-0.892
2.049383064,3.137365692,2.558045902,-1.131
2.042784344,3.169521188,2.58783359,-0.957
2.050417143,3.204174336,2.615404603,-1.000
