dV/V0,beta_1 (deg),beta_2 (deg),beta_3 (deg)
0.391189427,15.66610884,15.4912365,17.03591905
0.392951542,15.93592416,15.54606497,17.08961087
0.394713656,16.16797831,15.6732676,17.09842928
0.396475771,16.20417846,15.68526964,17.45029198
0.398237885,16.3674895,15.72199592,17.5346254
0.4,16.30364379,16.03506743,17.58114783
0.401762115,16.42493536,16.09690701,17.88904485
0.403524229,16.46734947,16.24665688,17.92570087
0.405286344,16.76052675,16.30496824,17.8880335
0.407048458,16.95522572,16.49301649,18.276507
0.408810573,17.10324066,16.6788326,18.44625997
0.410572687,17.11448773,16.67250305,18.59612824
0.412334802,17.13407788,16.85278834,18.60261529
0.414096916,17.26363741,16.98470256,18.88828669
0.415859031,17.54361579,17.07885294,18.74321981
0.417621145,17.46284241,17.19119625,18.98623442
0.41938326,17.68349135,17.31227902,18.9563298
0.421145374,17.72741245,17.47018971,19.38989247
0.422907489,18.05521454,17.54772525,19.71277796
0.424669604,18.1283959,17.68767134,19.54878733
0.426431718,18.20904732,17.78888023,19.53518492
0.428193833,18.47030444,18.0068414,19.57194126
0.429955947,18.39199253,18.1128105,19.84632875
0.431718062,18.70803836,18.20291564,20.09757503
0.433480176,18.76394211,18.33678888,20.11329733
0.435242291,18.901954,18.54854267,20.3211785
0.437004405,18.91710302,18.79847397,20.43504038
0.43876652,19.01857156,18.88325527,20.78243529
0.440528634,19.41028902,18.85275975,20.94598865
0.442290749,19.51685283,19.13504917,20.7530807
0.444052863,19.78613847,19.09465624,20.96966399
0.445814978,19.84123381,19.31189622,21.27951049
0.447577093,19.88395206,19.67718535,21.38004037
0.449339207,20.00746535,19.73435378,21.43316677
0.451101322,20.15532009,19.69113192,21.52655704
0.452863436,20.21380244,19.94738449,21.73495553
0.454625551,20.41334102,20.11024563,22.07183913
0.456387665,20.46539418,20.28136005,22.12946215
0.45814978,20.62626782,20.43511258,22.15334883
0.459911894,20.91455913,20.60407153,22.33550216
0.461674009,20.93793089,20.68248515,22.31802446
0.463436123,21.13633457,20.80630046,22.80581783
0.465198238,21.29934775,20.95823898,22.8121849
0.466960352,21.53119113,21.12411263,22.76249286
0.468722467,21.48488022,21.24525197,22.8844708
0.470484581,21.58420173,21.48560921,23.20761989
0.472246696,21.81922738,21.46681866,23.43101483
0.474008811,21.96764029,21.62880037,23.50423364
0.475770925,22.19299191,21.84408522,23.45841964
0.47753304,22.39650925,22.01212179,23.76132936
0.479295154,22.41294728,21.97391272,23.93942169
0.481057269,22.75192879,22.26278219,23.80740444
0.482819383,22.84924617,22.38337325,24.18967429
0.484581498,22.84377568,22.58939599,24.27482435
0.486343612,23.17713227,22.60962216,24.27511195
0.488105727,23.46713747,22.81828961,24.78719346
0.489867841,23.40844647,22.97051992,24.73780185
0.491629956,23.6242362,23.12148981,25.00164958
0.49339207,23.75260211,23.21416924,25.26722797
0.495154185,23.83235357,23.4496316,25.33923929
0.4969163,23.97101174,23.60421332,25.45433801
0.498678414,24.12680512,23.87305795,25.51617055
0.500440529,24.22688035,23.92774163,25.72325331
0.502202643,24.71182693,24.10162303,26.0706413
0.503964758,24.66165347,24.18287256,26.03378455
0.505726872,24.89705789,24.34496436,26.48703181
