dV/V0,delta1 (%),delta2 (%),delta3(%),theta1 (deg),theta2 (deg),theta3(deg)
0.416703297,2.937588889,2.789888889,2.5109,0.082311132,0.152452329,0.298707955
0.418461538,2.942277778,2.789888889,2.506211111,0.082152131,0.2129108,0.314857523
0.42021978,2.968066667,2.796922222,2.506211111,0.088182328,0.185070077,0.31604814
0.421978022,3.026677778,2.796922222,2.517933333,0.088287071,0.201566071,0.314089185
0.423736264,3.019644444,2.796922222,2.543722222,0.088287071,0.201566071,0.318218547
0.425494505,3.012611111,2.860222222,2.564822222,0.088287071,0.201566071,0.283348486
0.427252747,3.057155556,2.862566667,2.564822222,0.088234705,0.174075554,0.306392175
0.429010989,3.054811111,2.860222222,2.571855556,0.088234705,0.174075554,0.299110317
0.430769231,3.031366667,2.857877778,2.578888889,0.088234705,0.13854007,0.29694289
0.432527473,3.108733333,2.8696,2.592955556,0.088234705,0.166009054,0.304429259
0.434285714,3.113422222,2.930555556,2.614055556,0.088234705,0.201566071,0.306598232
0.436043956,3.094666667,2.925866667,2.618744444,0.088234705,0.248500175,0.287488342
0.437802198,3.115766667,2.925866667,2.646877778,0.088234705,0.287039226,0.328859884
0.43956044,3.115766667,2.984477778,2.646877778,0.088234705,0.248164077,0.311918665
0.441318681,3.115766667,2.984477778,2.689077778,0.088234705,0.248164077,0.321583178
0.443076923,3.132177778,2.984477778,2.696111111,0.130022928,0.248164077,0.316260347
0.444835165,3.160311111,2.984477778,2.714866667,0.111991382,0.316539987,0.323538923
0.446593407,3.167344444,3.057155556,2.717211111,0.111991382,0.305513233,0.28866903
0.448351648,3.179066667,3.047777778,2.731277778,0.117920579,0.305513233,0.304634179
0.45010989,3.174377778,3.0595,2.752377778,0.111891543,0.236816423,0.363460388
0.451868132,3.235333333,3.0595,2.7641,0.111941468,0.181793149,0.329835824
0.453626374,3.235333333,3.078255556,2.7641,0.111941468,0.181793149,0.361525741
0.455384615,3.235333333,3.078255556,2.7641,0.111941468,0.247827816,0.34024972
0.457142857,3.2705,3.078255556,2.796922222,0.111891543,0.247827816,0.37506117
0.458901099,3.293944444,3.0806,2.796922222,0.111891543,0.311347452,0.354030895
0.460659341,3.293944444,3.082944444,2.825055556,0.117821967,0.311347452,0.302872272
0.462417582,3.324422222,3.129833333,2.855533333,0.117821967,0.272776839,0.37434558
0.464175824,3.3549,3.129833333,2.855533333,0.117821967,0.228729815,0.366846206
0.465934066,3.3549,3.129833333,2.855533333,0.117821967,0.203448726,0.302872272
0.467692308,3.361933333,3.181411111,2.855533333,0.117821967,0.195020179,0.380631612
0.469450549,3.371311111,3.181411111,2.855533333,0.063008462,0.225465564,0.413800929
0.471208791,3.425233333,3.181411111,2.886011111,0.063063597,0.222541719,0.344826277
0.472967033,3.427577778,3.183755556,2.886011111,0.075045409,0.241646181,0.337555184
0.474725275,3.368966667,3.242366667,2.893044444,0.081036333,0.241646181,0.359828894
0.476483516,3.4393,3.235333333,2.935244444,0.081036333,0.288650734,0.362976234
0.478241758,3.432266667,3.284566667,2.925866667,0.081036333,0.324334523,0.355473463
0.48,3.432266667,3.2705,2.951655556,0.087079885,0.324334523,0.338077469
0.481758242,3.432266667,3.315044444,2.979788889,0.087079885,0.324334523,0.360797934
0.483516484,3.472122222,3.315044444,2.979788889,0.087079885,0.324334523,0.361766507
0.485274725,3.507288889,3.315044444,3.026677778,0.087079885,0.264016661,0.358859387
0.487032967,3.507288889,3.315044444,3.054811111,0.087079885,0.264016661,0.27388436
0.488791209,3.514322222,3.315044444,2.991511111,0.087079885,0.192443678,0.316472822
0.490549451,3.547144444,3.315044444,3.040744444,0.087079885,0.192443678,0.321799017
0.492307692,3.572933333,3.317388889,3.040744444,0.087079885,0.254581568,0.277415469
0.494065934,3.584655556,3.317388889,3.040744444,0.087079885,0.248732293,0.394503046
0.495824176,3.612788889,3.322077778,3.040744444,0.068890938,0.248732293,0.311566225
0.497582418,3.605755556,3.317388889,3.1017,0.080876533,0.248732293,0.348438787
0.499340659,3.615133333,3.315044444,3.104044444,0.087185088,0.248732293,0.401762293
0.501098901,3.617477778,3.322077778,3.089977778,0.092862172,0.248732293,0.377025475
0.502857143,3.643266667,3.390066667,3.082944444,0.087185088,0.248732293,0.377990908
0.504615385,3.640922222,3.326766667,3.078255556,0.086869347,0.248732293,0.371695881
0.506373626,3.640922222,3.359588889,3.139211111,0.093122185,0.248732293,0.368793092
0.508131868,3.640922222,3.387722222,3.139211111,0.092810137,0.248732293,0.342135439
0.50989011,3.640922222,3.387722222,3.157966667,0.099111889,0.248732293,0.384794722
0.511648352,3.654988889,3.406477778,3.172033333,0.092810137,0.248732293,0.358128271
0.513406593,3.652644444,3.411166667,3.225955556,0.093122185,0.23151192,0.370482048
0.515164835,3.694844444,3.446333333,3.225955556,0.092810137,0.23151192,0.419405712
0.516923077,3.694844444,3.446333333,3.216577778,0.093122185,0.217210234,0.38864939
0.518681319,3.720633333,3.453366667,3.244711111,0.092810137,0.264943601,0.433590714
0.52043956,3.748766667,3.465088889,3.265811111,0.093122185,0.273384855,0.367824562
0.522197802,3.727666667,3.507288889,3.265811111,0.110388942,0.273384855,0.381137544
0.523956044,3.769866667,3.507288889,3.298633333,0.104797074,0.265276286,0.34093256
0.525714286,3.781588889,3.483844444,3.317388889,0.104441305,0.265276286,0.37992038
0.527472527,3.790966667,3.486188889,3.317388889,0.110790558,0.265276286,0.366366873
0.529230769,3.790966667,3.530733333,3.317388889,0.110439181,0.265276286,0.408744488
0.530989011,3.795655556,3.530733333,3.310355556,0.110790558,0.265276286,0.370975765
0.532747253,3.854266667,3.526044444,3.319733333,0.140428715,0.265276286,0.397388737
0.534505495,3.854266667,3.526044444,3.3338,0.140805155,0.265276286,0.361520394
0.536263736,3.858955556,3.526044444,3.345522222,0.134526212,0.265276286,0.361520394
0.538021978,3.858955556,3.530733333,3.326766667,0.098906406,0.32045952,0.389870671
0.53978022,3.858955556,3.540111111,3.326766667,0.098597859,0.265276286,0.364672771
0.541538462,3.868333333,3.561211111,3.3549,0.098906406,0.265276286,0.359578527
0.543296703,3.905844444,3.561211111,3.357244444,0.098597859,0.265276286,0.401762293
0.545054945,3.912877778,3.603411111,3.387722222,0.098906406,0.283435176,0.419961257
0.546813187,3.917566667,3.603411111,3.387722222,0.098597859,0.286032364,0.394241113
0.548571429,3.929288889,3.603411111,3.420544444,0.104390438,0.286032364,0.381390988
0.55032967,3.941011111,3.603411111,3.448677778,0.104441305,0.286032364,0.398614143
0.552087912,3.938666667,3.617477778,3.448677778,0.122385981,0.286032364,0.416537828
0.553846154,3.938666667,3.631544444,3.453366667,0.128384516,0.286032364,0.397652632
0.555604396,3.971488889,3.6503,3.472122222,0.128384516,0.286032364,0.375343052
0.557362637,3.980866667,3.6503,3.462744444,0.128336151,0.286032364,0.376309965
0.559120879,3.978522222,3.718288889,3.462744444,0.128336151,0.286032364,0.41339176
0.560879121,3.999622222,3.718288889,3.462744444,0.128336151,0.286032364,0.380679072
0.562637363,4.023066667,3.718288889,3.488533333,0.128336151,0.286032364,0.362490625
0.564395604,4.039477778,3.718288889,3.514322222,0.128336151,0.286032364,0.380425856
0.566153846,4.037133333,3.718288889,3.514322222,0.128336151,0.286032364,0.407097868
0.567912088,4.062922222,3.720633333,3.514322222,0.128336151,0.286032364,0.449506764
0.56967033,4.100433333,3.720633333,3.530733333,0.128336151,0.286032364,0.425018174
0.571428571,4.126222222,3.720633333,3.530733333,0.128336151,0.304557896,0.43978461
0.573186813,4.147322222,3.720633333,3.530733333,0.128336151,0.315615784,0.393540221
0.574945055,4.142633333,3.720633333,3.587,0.15837734,0.315615784,0.438833584
