Test,Sample1,Sample2,Sample3,theta=90,t1=0.25mm,t2=0.75mm,H=18mm,R=10mm,flow=0.3ml/min
dv (ml),p (kpa),p (kpa),p (kpa),,,,,,
0.025333333,-0.234960024,-0.096909717,-0.155132442,,,,,,
0.0255,-0.150866275,-0.150866275,-0.066794187,,,,,,
0.025666667,-0.178897525,-0.135817311,-0.12502351,,,,,,
0.025833333,-0.208921685,-0.150866275,-0.166037044,,,,,,
0.026,-0.180918693,-0.064634017,-0.155132442,,,,,,
0.026166667,-0.066772527,-0.189894984,-0.12502351,,,,,,
0.026333333,-0.137882948,-0.096909717,-0.099126458,,,,,,
0.0265,-0.122835026,-0.165900062,-0.12502351,,,,,,
0.026666667,-0.176872273,-0.077600013,-0.094853751,,,,,,
0.026833333,-0.180918693,-0.150866275,-0.153054759,,,,,,
0.027,-0.180918693,-0.176872273,-0.170164156,,,,,,
0.027166667,-0.178897525,-0.152915701,-0.137991645,,,,,,
0.027333333,-0.066772527,-0.150866275,-0.068961011,,,,,,
0.0275,-0.180918693,-0.066772527,-0.183135434,,,,,,
0.027666667,-0.165900062,-0.111955538,-0.153054759,,,,,,
0.027833333,-0.066772527,-0.066772527,-0.114186387,,,,,,
0.028,-0.193917175,-0.081848721,-0.150972879,,,,,,
0.028166667,-0.234960024,-0.234960024,-0.122913315,,,,,,
0.028333333,-0.176872273,-0.111955538,-0.137991645,,,,,,
0.0285,-0.152915701,-0.19190811,-0.155132442,,,,,,
0.028666667,-0.139944423,-0.249951403,-0.179032442,,,,,,
0.028833333,-0.204931837,-0.081848721,-0.099126458,,,,,,
0.029,-0.178897525,-0.165900062,-0.183135434,,,,,,
0.029166667,-0.178897525,-0.150866275,-0.12502351,,,,,,
0.029333333,-0.094803777,-0.120753145,-0.137991645,,,,,,
0.0295,-0.167933308,-0.092693581,-0.155132442,,,,,,
0.029666667,-0.195922192,-0.105673756,-0.207092006,,,,,,
0.029833333,-0.120753145,-0.180918693,-0.09699226,,,,,,
0.03,-0.139944423,-0.120753145,-0.153054759,,,,,,
0.030166667,-0.232991401,-0.234960024,-0.155132442,,,,,,
0.030333333,-0.152915701,-0.133747498,-0.179032442,,,,,,
0.0305,-0.234960024,-0.150866275,-0.207092006,,,,,,
0.030666667,-0.137882948,-0.120753145,-0.112068454,,,,,,
0.030833333,-0.223911077,-0.206928774,-0.051672261,,,,,,
0.031,-0.178897525,-0.180918693,-0.207092006,,,,,,
