dv (ml),p1 (kpa),p2 (kpa),p3(kpa)
0.524444444,-0.130324889,-0.327127031,-0.394646526
0.528888889,0.132096716,-0.068117572,-0.586331169
0.533333333,-0.521299554,-0.588039826,-0.260912795
0.537777778,-0.062799406,-0.198442461,-0.066213241
0.542222222,-0.323843909,-0.330404364,-0.262684623
0.546666667,0.196405661,-0.524975119,-0.5233344
0.551111111,-0.262024304,-0.652611259,-0.718166291
0.555555556,-0.062799406,-0.457583428,-0.5233344
0.56,0,-0.391566755,-0.134259237
0.564444444,0.132096716,-0.588039826,-0.914309066
0.568888889,0.260649777,-0.459092238,-0.328698814
0.573333333,-0.130324889,-0.456071571,-0.783984177
0.577777778,-0.520185272,-0.330404364,-0.914309066
0.582222222,-0.32777459,-0.851178941,-0.785227459
0.586666667,-0.392217948,-0.330404364,-0.326994461
0.591111111,-0.521299554,-0.460598008,-0.785227459
0.595555556,0.001640319,-0.198442461,-0.396280247
0.6,0.260649777,-0.459092238,-0.330399737
0.604444444,-0.065948536,-0.850066903,-0.781490078
0.608888889,0.001640319,-0.523533518,-0.5233344
0.613333333,0.001640319,-0.330404364,-0.52182559
0.617777778,-0.197646468,-0.328767349,-0.781490078
0.622222222,0.130324889,-0.522089007,-0.5233344
0.626666667,-0.062799406,-0.328767349,-0.655033815
0.631111111,-0.130324889,-0.330404364,-0.716853421
0.635555556,-0.067518347,-0.652611259,-0.391369193
0.64,-0.193321658,-0.198442461,-0.394646526
0.644444444,0.130324889,-0.20021072,-0.653659289
0.648888889,-0.259272477,-0.396285696,-0.915421104
0.653333333,-0.062799406,-0.20021072,-0.262684623
0.657777778,0.12855663,-0.784314738,-0.914309066
0.662222222,-0.32777459,-0.914705348,-0.5233344
0.666666667,-0.521299554,-0.524975119,-0.262684623
0.671111111,-0.260649777,-0.460598008,-0.650901905
0.675555556,0.130324889,-0.589417126,-0.524840171
0.68,-0.521299554,-0.980391792,-0.586331169
0.684444444,-0.193321658,-0.459092238,-0.847375673
0.688888889,0,-0.980391792,-0.914309066
0.693333333,-0.260649777,-0.656541939,-0.5233344
0.697777778,-0.131830659,-0.589417126,-0.5233344
0.702222222,-0.389728874,-0.913655762,-0.262684623
0.706666667,0,-0.460598008,-0.330399737
0.711111111,-0.193321658,-0.459092238,-0.393009511
0.715555556,-0.260649777,-0.914705348,-0.262684623
0.72,-0.130324889,-0.457583428,-0.5233344
0.724444444,-0.260649777,-0.588039826,-0.718166291
0.728888889,-0.194766169,-0.523533518,-0.330399737
0.733333333,-0.454366161,-0.720985297,-0.586331169
0.737777778,-0.260649777,-0.719742015,-0.847375673
0.742222222,-0.521299554,-0.850066903,-0.262684623
0.746666667,-0.260649777,-0.522089007,-0.52182559
0.751111111,0.130324889,-0.847836088,-0.391369193
0.755555556,-0.064375559,-0.394715886,-0.979994981
0.76,-0.522411592,-0.330404364,-0.524840171
0.764444444,-0.260649777,-0.328767349,-0.782738386
0.768888889,-0.32777459,-0.785493586,-0.716853421
0.773333333,-0.001637015,-0.589417126,-0.783984177
0.777777778,-0.389728874,-0.396285696,-0.393009511
0.782222222,-0.392217948,-0.589417126,-0.5233344
0.786666667,-0.131830659,-0.459092238,-0.913194783
0.791111111,-0.32777459,-0.78313351,-0.720784101
0.795555556,-0.128816079,-0.459092238,-0.524840171
0.8,-0.392217948,-0.718496224,-0.653659289
0.804444444,0.130324889,-0.522089007,-0.262684623
0.808888889,-0.259272477,-0.330404364,-0.586331169
0.813333333,-0.001637015,-0.980391792,-0.262684623
0.817777778,-0.19620777,-0.78667006,-0.716853421
0.822222222,-0.392217948,-0.459092238,-0.653659289
0.826666667,0,-1.044178014,-0.458958048
0.831111111,-0.262024304,-0.589417126,-0.391369193
0.835555556,-0.131830659,-0.980391792,-0.194764414
0.84,-0.781949331,-0.913655762,-0.132359734
0.844444444,-0.782798881,-0.589417126,-0.783984177
0.848888889,-0.521299554,-0.457583428,-0.586331169
0.853333333,-0.326467003,-0.913655762,-0.653659289
0.857777778,-0.19620777,-0.719742015,-0.262684623
0.862222222,-0.260649777,-0.916798182,-0.718166291
0.866666667,-0.457902711,-0.850066903,-0.720784101
0.871111111,-0.390974666,-0.718496224,-0.59065598
0.875555556,-0.390974666,-0.851178941,-0.52182559
0.88,-0.064375559,-0.328767349,-0.718166291
0.884444444,-0.390974666,-1.241041569,-0.524840171
0.888888889,-0.260649777,-0.720985297,-0.847375673
0.893333333,-0.390974666,-0.981372586,-1.044633954
0.897777778,-0.260649777,-0.328767349,-0.653659289
0.902222222,-0.651624443,-1.110716681,-0.653659289
0.906666667,0,-0.522089007,-0.393009511
0.911111111,-0.65064167,-0.848952621,-0.652281988
0.915555556,-0.130324889,-0.915752819,-0.716853421
0.92,-0.455547389,-0.589417126,-0.652281988
0.924444444,-0.193321658,-0.784314738,-0.914309066
0.928888889,-0.520185272,-1.109865416,-0.52182559
0.933333333,-0.781098067,-1.305222517,-0.977897924
0.937777778,-0.715410665,-0.720985297,-0.849735748
0.942222222,-0.457902711,-0.915752819,-0.977897924
