test,sample1,sample1,sample2,sample3,sample3,R=10mm,H=26.7mm,t=0.56mm,flow=0.6ml/min
dv (ml),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),,,,
0.087666667,-0.279888846,-0.362948846,-0.28002992,-0.507496446,-0.405468741,,,,
0.088,-0.304993947,-0.32022172,-0.265307842,-0.436811432,-0.474867278,,,,
0.088333333,-0.279888846,-0.32022172,-0.305231075,-0.518131715,-0.462902487,,,,
0.088666667,-0.334454407,-0.264102592,-0.348000694,-0.448691407,-0.390731079,,,,
0.089,-0.306437293,-0.293507859,-0.334664656,-0.478123581,-0.390731079,,,,
0.089333333,-0.278420179,-0.333598898,-0.360001778,-0.478123581,-0.490905479,,,,
0.089666667,-0.306437293,-0.266847857,-0.305231075,-0.451518676,-0.473506044,,,,
0.09,-0.262181834,-0.377601607,-0.278602158,-0.507496446,-0.488216786,,,,
0.090333333,-0.406508632,-0.348281284,-0.390727155,-0.546191279,-0.446821878,,,,
0.090666667,-0.361084746,-0.39223959,-0.364038896,-0.575539917,-0.417358558,,,,
0.091,-0.321159371,-0.266847857,-0.290491975,-0.506140695,-0.446821878,,,,
0.091333333,-0.334454407,-0.420256704,-0.319955295,-0.491446168,-0.460157223,,,,
0.091666667,-0.290241398,-0.277451413,-0.361350203,-0.492817416,-0.473506044,,,,
0.092,-0.306437293,-0.322853841,-0.334664656,-0.463414919,-0.46153124,,,,
0.092333333,-0.346360526,-0.24937767,-0.336035904,-0.43538367,-0.448208653,,,,
0.092666667,-0.304993947,-0.23744536,-0.334664656,-0.491446168,-0.490905479,,,,
0.093,-0.3638555,-0.23744536,-0.364038896,-0.462012587,-0.377437492,,,,
0.093333333,-0.334454407,-0.293507859,-0.334664656,-0.520820408,-0.406896503,,,,
0.093666667,-0.390488634,-0.294850849,-0.319955295,-0.575539917,-0.417358558,,,,
0.094,-0.36247152,-0.32022172,-0.263864496,-0.462012587,-0.432097659,,,,
0.094333333,-0.334454407,-0.321539108,-0.306633407,-0.590192035,-0.462902487,,,,
0.094666667,-0.418505747,-0.349570358,-0.378703818,-0.491446168,-0.518908471,,,,
0.095,-0.290241398,-0.294850849,-0.349359183,-0.547508667,-0.434899495,,,,
0.095333333,-0.322584257,-0.334903446,-0.418758405,-0.519477418,-0.50424288,,,,
0.095666667,-0.333039346,-0.294850849,-0.364038896,-0.490072151,-0.417358558,,,,
0.096,-0.278420179,-0.322853841,-0.262418232,-0.491446168,-0.446821878,,,,
0.096333333,-0.361084746,-0.293507859,-0.265307842,-0.507496446,-0.448208653,,,,
0.096666667,-0.391844385,-0.294850849,-0.374713203,-0.463414919,-0.530958077,,,,
0.097,-0.321159371,-0.405632857,-0.364038896,-0.506140695,-0.545624988,,,,
0.097333333,-0.418505747,-0.349570358,-0.336035904,-0.462012587,-0.445432301,,,,
0.097666667,-0.322584257,-0.350856833,-0.290491975,-0.490072151,-0.490905479,,,,
0.098,-0.304993947,-0.321539108,-0.364038896,-0.436811432,-0.545624988,,,,
0.098333333,-0.434483423,-0.350856833,-0.389409767,-0.5488234,-0.501579786,,,,
0.098666667,-0.402479654,-0.294850849,-0.392041888,-0.531494715,-0.417358558,,,,
0.099,-0.350559049,-0.377601607,-0.308032912,-0.575539917,-0.501579786,,,,
0.099333333,-0.418505747,-0.294850849,-0.334664656,-0.491446168,-0.545624988,,,,
0.099666667,-0.403825357,-0.32022172,-0.374713203,-0.492817416,-0.446821878,,,,
0.1,-0.402479654,-0.376340848,-0.308032912,-0.562174922,-0.446821878,,,,
0.100333333,-0.389130145,-0.23744536,-0.308032912,-0.53548533,-0.490905479,,,,
0.100666667,-0.377165355,-0.376340848,-0.389409767,-0.534157808,-0.489562489,,,,
0.101,-0.318300962,-0.336205363,-0.418758405,-0.492817416,-0.433499991,,,,
0.101333333,-0.333039346,-0.309515771,-0.336035904,-0.5488234,-0.434899495,,,,
0.101666667,-0.36247152,-0.349570358,-0.28002992,-0.5488234,-0.433499991,,,,
0.102,-0.402479654,-0.352140717,-0.319955295,-0.490072151,-0.462902487,,,,
0.102333333,-0.446522861,-0.306858047,-0.334664656,-0.576826392,-0.489562489,,,,
0.102666667,-0.389130145,-0.322853841,-0.392041888,-0.534157808,-0.489562489,,,,
0.103,-0.278420179,-0.377601607,-0.418758405,-0.492817416,-0.389284816,,,,
0.103333333,-0.333039346,-0.32022172,-0.34663946,-0.5488234,-0.51627635,,,,
0.103666667,-0.417175545,-0.349570358,-0.42004488,-0.547508667,-0.446821878,,,,
0.104,-0.350559049,-0.306858047,-0.362695906,-0.534157808,-0.559003476,,,,
0.104333333,-0.418505747,-0.280171136,-0.336035904,-0.491446168,-0.417358558,,,,
0.104666667,-0.37442009,-0.349570358,-0.336035904,-0.547508667,-0.418776479,,,,
0.105,-0.431856606,-0.322853841,-0.362695906,-0.463414919,-0.474867278,,,,
0.105333333,-0.335866615,-0.349570358,-0.374713203,-0.507496446,-0.560277107,,,,
