test,sample1,sample2,sample2,sample3,sample3,R=10mm,H=18mm,t=0.56mm,flow=0.6ml/min
dv (ml),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),,,,
0.074333333,-0.500280221,-0.605318426,-0.477561915,-0.572182313,-0.45118914,,,,
0.074666667,-0.473339844,-0.493193428,-0.437130929,-0.460057315,-0.3793994,,,,
0.075,-0.500280221,-0.494253844,-0.38106843,-0.403994816,-0.491580998,,,,
0.075333333,-0.389246095,-0.605318426,-0.465162179,-0.416182086,-0.378208225,,,,
0.075666667,-0.401475858,-0.589856885,-0.395664006,-0.488088564,-0.4074448,,,,
0.076,-0.457623344,-0.605318426,-0.493193428,-0.488088564,-0.43435571,,,,
0.076333333,-0.445308594,-0.505635657,-0.436011742,-0.586721345,-0.42204096,,,,
0.076666667,-0.41845079,-0.604369126,-0.465162179,-0.473492404,-0.479192132,,,,
0.077,-0.417277345,-0.522256836,-0.43824786,-0.433227768,-0.45118914,,,,
0.077333333,-0.41845079,-0.536766577,-0.522256836,-0.433227768,-0.392833895,,,,
0.077666667,-0.444161093,-0.604369126,-0.465162179,-0.433227768,-0.463535599,,,,
0.078,-0.41845079,-0.548249998,-0.508777692,-0.460057315,-0.479192132,,,,
0.078333333,-0.528339785,-0.604369126,-0.522256836,-0.432026066,-0.45007221,,,,
0.078666667,-0.501371093,-0.577287176,-0.421414429,-0.432026066,-0.462429453,,,,
0.079,-0.430712433,-0.493193428,-0.394503519,-0.433227768,-0.395183156,,,,
0.079333333,-0.502459766,-0.522256836,-0.449488172,-0.516119814,-0.45118914,,,,
0.079666667,-0.502459766,-0.521224677,-0.43824786,-0.444255829,-0.423186148,,,,
0.08,-0.473339844,-0.579236498,-0.479715346,-0.488088564,-0.395183156,,,,
0.080333333,-0.529402342,-0.591783801,-0.40909968,-0.545239736,-0.435490199,,,,
0.080666667,-0.528339785,-0.660488254,-0.505635657,-0.585674002,-0.42204096,,,,
0.081,-0.401475858,-0.605318426,-0.477561915,-0.600213562,-0.479192132,,,,
0.081333333,-0.403855806,-0.590821316,-0.548249998,-0.556550799,-0.365978462,,,,
0.081666667,-0.43187292,-0.676711,-0.464071306,-0.545239736,-0.408605286,,,,
0.082,-0.528339785,-0.605318426,-0.449488172,-0.488088564,-0.394009711,,,,
0.082333333,-0.530462758,-0.689412174,-0.550259827,-0.571119755,-0.435490199,,,,
0.082666667,-0.474456774,-0.661380925,-0.466250852,-0.558704231,-0.3793994,,,,
0.083,-0.501371093,-0.633349675,-0.605318426,-0.557628602,-0.4074448,,,,
0.083333333,-0.458757833,-0.606265811,-0.548249998,-0.572182313,-0.477012587,,,,
0.083666667,-0.489008837,-0.662271795,-0.451698233,-0.557628602,-0.394009711,,,,
0.084,-0.528339785,-0.646004371,-0.493193428,-0.529583203,-0.463535599,,,,
0.084333333,-0.486803232,-0.689412174,-0.450594318,-0.500403314,-0.507195124,,,,
0.084666667,-0.557433592,-0.577287176,-0.550259827,-0.545239736,-0.45007221,,,,
0.085,-0.474456774,-0.606265811,-0.576309562,-0.544151063,-0.4074448,,,,
0.085333333,-0.542894031,-0.604369126,-0.549255927,-0.628244811,-0.45007221,,,,
0.085666667,-0.556399349,-0.591783801,-0.590821316,-0.460057315,-0.562197208,,,,
0.086,-0.474456774,-0.633349675,-0.549255927,-0.599179319,-0.462429453,,,,
0.086333333,-0.43187292,-0.577287176,-0.550259827,-0.60124572,-0.45118914,,,,
0.086666667,-0.570939431,-0.633349675,-0.576309562,-0.502670004,-0.423186148,,,,
0.087,-0.530462758,-0.690274787,-0.605318426,-0.544151063,-0.45007221,,,,
0.087333333,-0.515924261,-0.674078113,-0.578262819,-0.531788808,-0.490503195,,,,
0.087666667,-0.528339785,-0.661380925,-0.505635657,-0.544151063,-0.562197208,,,,
0.088,-0.446453782,-0.718277779,-0.633349675,-0.543060191,-0.576707968,,,,
0.088333333,-0.430712433,-0.660488254,-0.661380925,-0.599179319,-0.490503195,,,,
0.088666667,-0.501371093,-0.717443423,-0.549255927,-0.627238883,-0.479192132,,,,
0.089,-0.445308594,-0.660488254,-0.549255927,-0.529583203,-0.478103459,,,,
0.089333333,-0.501371093,-0.745474673,-0.493193428,-0.572182313,-0.505072151,,,,
0.089666667,-0.515924261,-0.646912115,-0.522256836,-0.628244811,-0.478103459,,,,
0.09,-0.514848632,-0.732688769,-0.591783801,-0.584624542,-0.547671797,,,,
0.090333333,-0.502459766,-0.732688769,-0.548249998,-0.516119814,-0.43435571,,,,
0.090666667,-0.541844572,-0.661380925,-0.619800914,-0.572182313,-0.42204096,,,,
0.091,-0.474456774,-0.605318426,-0.50773246,-0.516119814,-0.521718973,,,,
0.091333333,-0.446453782,-0.648722115,-0.534730517,-0.473492404,-0.546650681,,,,
0.091666667,-0.486803232,-0.688547818,-0.592744346,-0.60124572,-0.546650681,,,,
0.092,-0.598984831,-0.676711,-0.633349675,-0.545239736,-0.518576938,,,,
0.092333333,-0.501371093,-0.646004371,-0.493193428,-0.572182313,-0.506134709,,,,
0.092666667,-0.570939431,-0.689412174,-0.520190434,-0.571119755,-0.408605286,,,,
0.093,-0.472220657,-0.716607382,-0.521224677,-0.60124572,-0.4074448,,,,
0.093333333,-0.530462758,-0.718277779,-0.534730517,-0.572182313,-0.463535599,,,,
0.093666667,-0.445308594,-0.745474673,-0.63242869,-0.585674002,-0.45007221,,,,
0.094,-0.529402342,-0.633349675,-0.549255927,-0.60124572,-0.549707858,,,,
0.094333333,-0.529402342,-0.619800914,-0.606265811,-0.643744346,-0.478103459,,,,
0.094666667,-0.570939431,-0.634268803,-0.50773246,-0.655298447,-0.4366224,,,,
0.095,-0.500280221,-0.662271795,-0.577287176,-0.573242728,-0.518576938,,,,
0.095333333,-0.500280221,-0.605318426,-0.689412174,-0.571119755,-0.506134709,,,,
0.095666667,-0.474456774,-0.619800914,-0.606265811,-0.600213562,-0.547671797,,,,
0.096,-0.445308594,-0.717443423,-0.661380925,-0.529583203,-0.463535599,,,,
0.096333333,-0.584458912,-0.716607382,-0.605318426,-0.655298447,-0.43435571,,,,
0.096666667,-0.55846575,-0.660488254,-0.605318426,-0.612698285,-0.534165958,,,,
0.097,-0.613496091,-0.660488254,-0.605318426,-0.571119755,-0.535198116,,,,
0.097333333,-0.501371093,-0.744666946,-0.549255927,-0.573242728,-0.43435571,,,,
0.097666667,-0.486803232,-0.605318426,-0.578262819,-0.629248712,-0.562197208,,,,
0.098,-0.513770829,-0.633349675,-0.606265811,-0.60124572,-0.45118914,,,,
0.098333333,-0.529402342,-0.660488254,-0.576309562,-0.600213562,-0.448953023,,,,
0.098666667,-0.585464841,-0.716607382,-0.550259827,-0.68430731,-0.561191279,,,,
0.099,-0.489008837,-0.633349675,-0.605318426,-0.627238883,-0.463535599,,,,
0.099333333,-0.556399349,-0.662271795,-0.634268803,-0.585674002,-0.45118914,,,,
0.099666667,-0.584458912,-0.716607382,-0.578262819,-0.516119814,-0.491580998,,,,
0.1,-0.485697086,-0.732688769,-0.63242869,-0.655298447,-0.43435571,,,,
0.100333333,-0.501371093,-0.731869369,-0.634268803,-0.656276061,-0.478103459,,,,
0.100666667,-0.55846575,-0.773505922,-0.648722115,-0.543060191,-0.506134709,,,,
0.101,-0.473339844,-0.773505922,-0.661380925,-0.600213562,-0.43435571,,,,
0.101333333,-0.502459766,-0.633349675,-0.606265811,-0.545239736,-0.45118914,,,,
0.101666667,-0.543941374,-0.718277779,-0.661380925,-0.571119755,-0.547671797,,,,
0.102,-0.543941374,-0.689412174,-0.590821316,-0.657251704,-0.506134709,,,,
0.102333333,-0.529402342,-0.605318426,-0.561783143,-0.600213562,-0.535198116,,,,
0.102666667,-0.529402342,-0.760677654,-0.605318426,-0.627238883,-0.506134709,,,,
0.103,-0.528339785,-0.689412174,-0.521224677,-0.655298447,-0.506134709,,,,
0.103333333,-0.514848632,-0.703852255,-0.605318426,-0.573242728,-0.42204096,,,,
0.103666667,-0.543941374,-0.688547818,-0.550259827,-0.571119755,-0.45118914,,,,
0.104,-0.502459766,-0.745474673,-0.590821316,-0.629248712,-0.535198116,,,,
