test,sample0,sample0,sample1,sample1,sample2,sample2,R=9mm,H=45mm,t=1.2mm,flow=1.2ml/min
dv (ml),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),,,,
0.059333333,-0.166408183,-0.418758405,-0.294765379,-0.431143691,-0.372870361,-0.404315511,,,,
0.06,-0.179660091,-0.418758405,-0.225561624,-0.445755182,-0.446131067,-0.433635834,,,,
0.060666667,-0.164879979,-0.473588459,-0.265279599,-0.349415669,-0.388854004,-0.40689106,,,,
0.061333333,-0.179660091,-0.532056848,-0.263779681,-0.488397322,-0.474119951,-0.350885076,,,,
0.062,-0.153169634,-0.558914652,-0.347915879,-0.392041888,-0.500922459,-0.376255947,,,,
0.062666667,-0.110373956,-0.516273091,-0.293296712,-0.462614043,-0.485108617,-0.447028473,,,,
0.063333333,-0.125166642,-0.532056848,-0.349330939,-0.516442722,-0.446131067,-0.377573335,,,,
0.064,-0.179660091,-0.461427637,-0.347915879,-0.42004488,-0.457049053,-0.461667084,,,,
0.064666667,-0.23572259,-0.476050864,-0.322754264,-0.487291176,-0.485108617,-0.390937674,,,,
0.065333333,-0.22244241,-0.504053856,-0.377348053,-0.530996432,-0.514343997,-0.361559383,,,,
0.066,-0.179660091,-0.614977151,-0.322754264,-0.476050864,-0.527779086,-0.434894052,,,,
0.066666667,-0.179660091,-0.614977151,-0.266776494,-0.448047872,-0.584973799,-0.362892274,,,,
0.067333333,-0.181172626,-0.588062832,-0.377348053,-0.490602927,-0.500922459,-0.393538883,,,,
0.068,-0.107201201,-0.571229401,-0.293296712,-0.418871434,-0.486312748,-0.40689106,,,,
0.068666667,-0.151628842,-0.558914652,-0.28002992,-0.502965183,-0.541227745,-0.390937674,,,,
0.069333333,-0.22244241,-0.588062832,-0.364038896,-0.587058931,-0.587174962,-0.490900036,,,,
0.07,-0.23717861,-0.599303144,-0.361237059,-0.532056848,-0.474119951,-0.433635834,,,,
0.070666667,-0.247569914,-0.55776715,-0.349330939,-0.586053002,-0.485108617,-0.501928096,,,,
0.071333333,-0.178144501,-0.616065824,-0.28002992,-0.530996432,-0.485108617,-0.447028473,,,,
0.072,-0.178144501,-0.657547432,-0.361237059,-0.586053002,-0.500922459,-0.434894052,,,,
0.072666667,-0.23572259,-0.641945842,-0.334608142,-0.516442722,-0.544663316,-0.476290931,,,,
0.073333333,-0.209175618,-0.644068816,-0.333177495,-0.56005984,-0.655532402,-0.445780611,,,,
0.074,-0.23572259,-0.571229401,-0.432052078,-0.64312143,-0.556956686,-0.445780611,,,,
0.074666667,-0.178144501,-0.571229401,-0.43338228,-0.586053002,-0.584973799,-0.517729583,,,,
0.075333333,-0.219496171,-0.588062832,-0.377348053,-0.588062832,-0.625406437,-0.545760832,,,,
0.076,-0.265181602,-0.699070899,-0.333177495,-0.529933874,-0.584973799,-0.518903028,,,,
0.076666667,-0.179660091,-0.671039649,-0.377348053,-0.573552578,-0.555824485,-0.505494421,,,,
0.077333333,-0.291785089,-0.69806497,-0.405365167,-0.557993438,-0.656562481,-0.418983073,,,,
0.078,-0.293184594,-0.700074799,-0.445415751,-0.62862432,-0.641008027,-0.517729583,,,,
0.078666667,-0.277061577,-0.671039649,-0.489416507,-0.530996432,-0.62752941,-0.488494203,,,,
0.079333333,-0.291785089,-0.700074799,-0.43338228,-0.671152679,-0.670042144,-0.616376499,,,,
0.08,-0.262323193,-0.727102148,-0.488142877,-0.587058931,-0.739541378,-0.572672895,,,,
0.080666667,-0.262323193,-0.685564545,-0.41870189,-0.64312143,-0.612990913,-0.545760832,,,,
0.081333333,-0.335866615,-0.727102148,-0.43338228,-0.571512404,-0.697042254,-0.589461075,,,,
0.082,-0.291785089,-0.670005406,-0.488142877,-0.64312143,-0.611915284,-0.545760832,,,,
0.082666667,-0.374561449,-0.655450629,-0.405365167,-0.683807375,-0.697042254,-0.574909012,,,,
0.083333333,-0.265181602,-0.797633,-0.461399394,-0.656669719,-0.599526418,-0.545760832,,,,
0.084,-0.403910087,-0.7677456,-0.473475315,-0.601569691,-0.76754437,-0.54690602,,,,
0.084666667,-0.319816338,-0.727102148,-0.489416507,-0.683807375,-0.625406437,-0.65788583,,,,
0.085333333,-0.374561449,-0.69806497,-0.489416507,-0.698291258,-0.66902514,-0.516553767,,,,
0.086,-0.293184594,-0.769615886,-0.445415751,-0.644068816,-0.697042254,-0.601823331,,,,
0.086666667,-0.303717399,-0.700074799,-0.489416507,-0.726350822,-0.697042254,-0.65788583,,,,
0.087333333,-0.305106977,-0.839227146,-0.473475315,-0.61509018,-0.697042254,-0.574909012,,,,
0.088,-0.321187586,-0.699070899,-0.473475315,-0.658536235,-0.612990913,-0.65788583,,,,
0.088666667,-0.447822154,-0.839227146,-0.462698687,-0.700074799,-0.66902514,-0.62985458,,,,
0.089333333,-0.263753839,-0.812086767,-0.532056848,-0.672071807,-0.809110708,-0.630914996,,,,
0.09,-0.275643657,-0.812086767,-0.545450734,-0.683807375,-0.753076481,-0.656851586,,,,
0.090666667,-0.362527978,-0.797633,-0.532056848,-0.670231694,-0.724096882,-0.588359385,,,,
0.091333333,-0.446579319,-0.782243662,-0.517433621,-0.783277677,-0.781093594,-0.643346269,,,,
0.092,-0.375878837,-0.756080783,-0.473475315,-0.727215178,-0.809110708,-0.628792022,,,,
0.092666667,-0.291785089,-0.784083775,-0.501534879,-0.699183929,-0.726019913,-0.741979578,,,,
0.093333333,-0.402621013,-0.840089759,-0.489416507,-0.8257066,-0.753076481,-0.712970714,,,,
0.094,-0.334510864,-0.866422354,-0.58571357,-0.755246427,-0.79376382,-0.712970714,,,,
0.094666667,-0.402621013,-0.769615886,-0.630631994,-0.798480658,-0.754008797,-0.728444953,,,,
0.095333333,-0.389243175,-0.784083775,-0.613773134,-0.755246427,-0.781997682,-0.62985458,,,,
0.096,-0.333152376,-0.783164647,-0.529594443,-0.812086767,-0.780187681,-0.741979578,,,,
0.096666667,-0.403910087,-0.784083775,-0.545450734,-0.770491773,-0.809110708,-0.741030278,,,,
0.097333333,-0.433199554,-0.896095743,-0.561259122,-0.867371425,-0.865144935,-0.712970714,,,,
0.098,-0.403910087,-0.823893085,-0.616065824,-0.796102345,-0.809110708,-0.741979578,,,,
0.098666667,-0.459972585,-0.854514857,-0.574654225,-0.783277677,-0.880360813,-0.785383268,,,,
0.099333333,-0.403910087,-0.867258395,-0.60264311,-0.770491773,-0.809110708,-0.798042077,,,,
0.1,-0.447822154,-0.965735681,-0.629502075,-0.881740827,-0.796436439,-0.701416614,,,,
0.100666667,-0.418562205,-0.867258395,-0.58571357,-0.768851317,-0.921179162,-0.670370552,,,,
0.101333333,-0.433199554,-0.824772486,-0.58571357,-0.798480658,-0.892369279,-0.643346269,,,,
0.102,-0.431941336,-0.964999484,-0.600324475,-0.755246427,-0.880360813,-0.712970714,,,,
0.102666667,-0.431941336,-0.868092751,-0.658620879,-0.840089759,-0.849882948,-0.810739265,,,,
0.103333333,-0.374561449,-0.950601046,-0.642951885,-0.839340176,-0.809110708,-0.727482468,,,,
0.104,-0.486799704,-0.950601046,-0.670983135,-0.90975794,-0.89395322,-0.712970714,,,,
0.104666667,-0.45874014,-0.896095743,-0.729107871,-0.866648642,-0.921942105,-0.741979578,,,,
0.105333333,-0.431941336,-1.007414642,-0.628369874,-0.923433924,-0.893162049,-0.685917079,,,,
0.106,-0.461202546,-1.007414642,-0.727045633,-0.838589078,-0.880360813,-0.82693594,,,,
0.106666667,-0.433199554,-0.978660609,-0.699014384,-0.840089759,-0.948460079,-0.756462066,,,,
0.107333333,-0.486799704,-0.951352144,-0.728077791,-0.840089759,-0.849882948,-0.82520897,,,,
0.108,-0.446579319,-0.992335541,-0.713553416,-0.840089759,-0.93406164,-0.854938932,,,,
0.108666667,-0.403910087,-0.979383393,-0.641832698,-0.839340176,-0.991568306,-0.839664066,,,,
0.109333333,-0.403910087,-0.908908685,-0.686609764,-0.852249831,-0.921179162,-0.797149406,,,,
0.11,-0.461202546,-0.936188056,-0.783108132,-0.867371425,-1.005230503,-0.826073326,,,,
0.110666667,-0.433199554,-0.964999484,-0.713553416,-0.811308926,-0.963565314,-0.882941924,,,,
0.111333333,-0.52830734,-0.980104719,-0.713553416,-0.924098735,-0.962121204,-0.854938932,,,,
0.112,-0.529470173,-1.063477141,-0.797604757,-0.895402674,-0.94993099,-0.882941924,,,,
0.112666667,-0.403910087,-1.091508391,-0.741570529,-0.923433924,-0.949196276,-0.854104576,,,,
0.113333333,-0.475811038,-0.980104719,-0.798565302,-0.936471059,-0.921179162,-0.82520897,,,,
0.114,-0.473379374,-1.064113695,-0.700074799,-0.895402674,-0.977213389,-0.839664066,,,,
0.114666667,-0.472159855,-1.062839301,-0.769587643,-0.896095743,-0.893162049,-0.881328098,,,,
0.115333333,-0.544066334,-1.091508391,-0.740551473,-0.881032915,-0.921942105,-0.854104576,,,,
0.116,-0.514859268,-1.035445892,-0.769587643,-0.90975794,-1.005908759,-0.897338806,,,,
0.116666667,-0.570978396,-1.035445892,-0.82562187,-0.951465173,-0.964285187,-0.96550679,,,,
0.117333333,-0.573214513,-1.11953964,-0.852733071,-0.922767769,-0.948460079,-0.910167074,,,,
0.118,-0.544066334,-1.036110703,-0.770576417,-0.978886897,-1.033247617,-0.938947908,,,,
0.118666667,-0.628160082,-1.092116687,-0.754070954,-0.966413966,-1.117298957,-0.966229573,,,,
0.119333333,-0.573214513,-1.007414642,-0.796642272,-0.924098735,-1.048209562,-0.869349921,,,,
0.12,-0.542918832,-0.993044883,-0.853638984,-1.008107711,-0.977919874,-0.866886751,,,,
0.120666667,-0.517208529,-1.147570889,-0.840089759,-0.993809281,-1.060641677,-0.96550679,,,,
