Test ,20220705_1515_4folds_sample2,20220705_1518_4folds_sample2,20220705_1521_4folds_sample2,20220705_1526_4folds_sample0,20220705_1529_4folds_sample0,20220705_1531_4folds_sample0,20220705_1548_4folds_sample3_metadata,20220705_1550_4folds_sample3
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0.196444444,-0.918311389,-0.712131042,-1.301671737,-1.694223551,-1.690413033,-0.718362429,-1.497620727,-1.888923999
0.199333333,-0.846651277,-0.84750186,-1.242152383,-1.497686448,-1.303248886,-1.107302248,-1.305673366,-1.104214335
0.202222222,-0.788117745,-1.101068509,-1.301671737,-1.367295838,-1.298648516,-0.65195305,-1.428973404,-1.367361559
0.205111111,-1.046080554,-1.041549155,-1.500508924,-1.435735766,-1.696123054,-0.91273427,-1.497620727,-1.694223551
0.208,-1.178698678,-0.972912262,-1.301671737,-1.563898663,-1.497686448,-0.65195305,-1.497620727,-1.303248886
0.210888889,-1.107695781,-0.842521652,-1.564687319,-1.106514618,-1.628077058,-1.105263292,-1.758401946,-0.97618973
0.213777778,-0.785430777,-0.581740432,-1.109534258,-1.495583727,-1.172923997,-1.434296709,-1.497620727,-1.104214335
0.216666667,-0.915755665,-1.235791965,-1.432193989,-1.042599108,-1.690413033,-0.91273427,-1.82454844,-1.10658034
0.219555556,-1.046080554,-1.231590761,-1.173515489,-1.239266464,-1.298648516,-1.239661983,-1.756430868,-1.367361559
0.222444444,-1.107695781,-1.165243722,-1.173515489,-1.239266464,-1.499784931,-0.65195305,-1.694223551,-1.303248886
0.225333333,-1.370843005,-1.165243722,-0.97920937,-1.298648516,-1.628077058,-1.303906099,-1.499850586,-1.495781091
0.228222222,-0.915755665,-1.103302872,-1.043124879,-1.628077058,-1.106514618,-1.043124879,-1.694223551,-1.560088144
0.231111111,-0.788117745,-1.169580808,-1.303906099,-1.106514618,-1.435735766,-0.910499907,-1.495386364,-0.97618973
0.234,-0.846651277,-0.908931031,-1.104670605,-1.236905228,-1.696123054,-0.850980553,-1.497620727,-1.175217233
0.236888889,-1.306730331,-0.650968222,-1.043124879,-1.563898663,-1.758467668,-0.46039962,-1.951326094,-1.367361559
0.239777778,-0.785430777,-1.169580808,-1.111958738,-1.628077058,-1.760303398,-0.848687317,-1.628011337,-1.042599108
0.242666667,-0.788117745,-1.041549155,-1.303906099,-1.172923997,-1.82454844,-0.65195305,-1.364864113,-1.69599181
0.245555556,-0.718889955,-1.233693482,-1.111958738,-1.168060343,-1.696123054,-1.30574183,-1.172923997,-1.042599108
0.248444444,-1.110061785,-1.171742799,-1.043124879,-1.628077058,-1.626105979,-1.235851464,-1.428973404,-1.561995326
0.251333333,-0.788117745,-0.712131042,-1.173515489,-1.106514618,-1.758467668,-1.241561486,-1.364864113,-1.499719276
0.254222222,-1.110061785,-1.235791965,-1.173515489,-1.042599108,-1.626105979,-0.97467512,-1.888792556,-1.10658034
0.257111111,-1.238218033,-0.908931031,-1.432193989,-1.888858278,-1.497686448,-0.65195305,-1.559561577,-1.10658034
0.26,-1.107695781,-1.299905696,-1.109534258,-1.234539224,-1.305542121,-1.171544411,-1.628011337,-1.435604522
0.262888889,-1.107695781,-1.235791965,-1.109534258,-1.497686448,-1.630044165,-0.844086947,-1.493147486,-1.629978509
0.265777778,-0.918311389,-1.231590761,-1.303906099,-1.758467668,-1.626105979,-0.65195305,-1.756430868,-1.431538928
0.268666667,-0.655105888,-0.908931031,-1.434296709,-1.433573774,-1.369525698,-0.97467512,-1.566060654,-1.10658034
0.271555556,-1.370843005,-0.904067377,-0.91273427,-0.91227422,-1.435735766,-0.844086947,-1.364864113,-1.175217233
0.274444444,-1.302393245,-0.845014265,-1.372346027,-1.55982486,-0.914961188,-1.043124879,-1.566060654,-1.303248886
0.277333333,-1.308892323,-1.364084091,-1.109534258,-1.303248886,-1.690413033,-0.979012206,-1.760369053,-1.305410877
0.280222222,-0.655105888,-1.171742799,-0.848884481,-1.499784931,-1.172923997,-0.78234366,-1.300819513,-1.298911799
0.283111111,-1.107695781,-1.101068509,-1.109534258,-1.172923997,-1.690413033,-1.366439637,-1.886953119,-1.560088144
0.286,-1.244907626,-1.171742799,-1.365846949,-1.369525698,-1.630044165,-1.105263292,-1.371947836,-1.497752169
0.288888889,-1.112423021,-0.904067377,-1.235258777,-1.563898663,-1.497686448,-1.043124879,-1.888792556,-1.369460043
0.291777778,-0.846651277,-0.845014265,-1.365846949,-1.239266464,-1.628077058,-0.779977655,-1.305673366,-1.239200809
0.294666667,-0.915755665,-1.364084091,-1.372346027,-1.106514618,-1.435735766,-1.111367842,-1.628011337,-1.303248886
0.297555556,-1.110061785,-1.171742799,-1.104670605,-1.628077058,-1.365061476,-0.844086947,-1.826447943,-1.690676317
0.300444444,-0.915755665,-0.908931031,-1.104670605,-1.172923997,-1.626105979,-0.78234366,-1.628011337,-1.497752169
0.303333333,-1.110061785,-1.036958055,-1.173515489,-1.497686448,-1.499784931,-1.30574183,-1.428973404,-1.305410877
0.306222222,-0.785430777,-0.911355511,-1.239859147,-1.234539224,-0.976124008,-1.045223363,-1.428973404,-0.91227422
0.309111111,-1.043651181,-1.494474701,-1.564687319,-1.758467668,-1.626105979,-0.979012206,-1.888792556,-1.628142779
0.312,-0.849280565,-1.364084091,-1.372346027,-1.104016972,-1.626105979,-1.173515489,-1.756430868,-1.104214335
0.314888889,-1.048505034,-0.712131042,-1.436395193,-1.175348477,-1.626105979,-0.848687317,-2.017475371,-1.175217233
0.317777778,-1.048505034,-0.972912262,-1.109534258,-1.756628231,-1.433573774,-0.850980553,-1.690149749,-1.628142779
0.320666667,-0.851904554,-1.101068509,-1.372346027,-1.367295838,-1.626105979,-1.043124879,-1.820737921,-1.367361559
0.323555556,-0.915755665,-1.233693482,-1.104670605,-1.369525698,-1.040038226,-1.303906099,-1.760369053,-1.303248886
0.326444444,-0.910628728,-0.840024006,-1.301671737,-1.56592941,-1.367295838,-1.175482596,-1.236839507,-1.303248886
0.329333333,-1.242682255,-0.77604526,-1.109534258,-1.429236688,-1.497686448,-0.58803754,-2.019183166,-1.497752169
0.332222222,-1.046080554,-0.970546258,-1.040627234,-1.042599108,-1.756628231,-0.979012206,-1.756430868,-1.239200809
0.335111111,-0.788117745,-1.039255919,-1.173515489,-1.298648516,-1.239266464,-0.910499907,-1.628011337,-1.499719276
0.338,-0.851904554,-1.103302872,-1.365846949,-1.239266464,-1.305542121,-1.109337094,-1.172923997,-1.495781091
0.340888889,-0.915755665,-0.908931031,-1.104670605,-1.56592941,-1.626105979,-1.105263292,-1.497620727,-1.758533389
0.343777778,-1.306730331,-1.364084091,-1.171149485,-1.628077058,-1.234539224,-1.043124879,-1.758401946,-1.499719276
0.346666667,-1.110061785,-1.103302872,-1.242152383,-1.305542121,-1.82454844,-0.848687317,-1.696254299,-1.305410877
0.349555556,-0.915755665,-0.77604526,-1.301671737,-1.042599108,-1.305542121,-1.366439637,-1.369591353,-1.367361559
