dV/V,Theta1 (deg),Theta2 (deg),Theta3 (deg),delta1 (scale=0.081),delta2 (scale=0.082),delta3(scale=0.087)
0.3486,10.15928519,7.228640154,8.984890852,0.0422484,0.04428,0.021717778
0.3507,10.35249533,7.53171857,9.187570396,0.0430236,0.044782934,0.022136667
0.3528,10.62864819,7.741097001,9.526148083,0.0434928,0.045613867,0.022297778
0.3549,10.88426379,8.031313415,9.759582185,0.0441456,0.046335467,0.02262
0.357,11.05295666,8.263979985,9.973683342,0.0449616,0.046685334,0.022877778
0.3591,11.25984628,8.539302129,10.22954596,0.0455532,0.047538133,0.023393333
0.3612,11.53810577,8.825168775,10.45407514,0.0459408,0.048237867,0.023554444
0.3633,11.76758391,9.061555964,10.68477144,0.0468792,0.048850133,0.024005556
0.3654,12.01655228,9.288326599,10.91008619,0.04794,0.049418667,0.02436
0.3675,12.23600876,9.508204133,11.19157246,0.0482664,0.050184,0.02465
0.3696,12.45380275,9.812062027,11.44318843,0.0490416,0.051211733,0.024972222
0.3717,12.66934932,10.06684154,11.67539283,0.0497964,0.052108267,0.025262222
0.3738,12.88574764,10.3622698,11.90427934,0.050286,0.052589334,0.025552222
0.3759,13.0819422,10.56833929,12.14954176,0.0510816,0.053551467,0.025971111
0.378,13.32277181,10.78937367,12.35768654,0.0519996,0.0543168,0.026228889
0.3801,13.57365097,11.07211465,12.62980896,0.0524688,0.0550384,0.02668
0.3822,13.82112457,11.36988918,12.88195781,0.053142,0.0562192,0.027066667
0.3843,13.96050364,11.58970587,13.07033822,0.0539784,0.056831467,0.027453333
0.3864,14.21183418,11.85517139,13.36160441,0.0547536,0.057421867,0.028001111
0.3885,14.44371999,12.07437909,13.54904722,0.0554472,0.058427734,0.028065556
0.3906,14.65706908,12.36079458,13.80964131,0.0560796,0.059127466,0.028548889
0.3927,14.81380661,12.55272313,14.04947996,0.056712,0.059739733,0.028645556
0.3948,15.07288594,12.8297995,14.30573585,0.0574668,0.0605488,0.029096667
0.3969,15.21184148,13.08484666,14.5271819,0.058344,0.061423466,0.029451111
0.399,15.45616699,13.25591012,14.77336495,0.058956,0.062101333,0.029708889
0.4011,15.66102189,13.54790839,15.02464318,0.059976,0.063129066,0.030095556
0.4032,15.86247989,13.78510815,15.2382544,0.0607104,0.063632,0.030514444
0.4053,16.06681578,13.9772316,15.49808026,0.0612612,0.064309866,0.030836667
0.4074,16.26220481,14.19188563,15.72834054,0.062016,0.0656,0.031223333
0.4095,16.43230592,14.47229365,15.90332472,0.0626688,0.066146666,0.031642222
0.4116,16.69685795,14.67473202,16.15396088,0.0637704,0.066868267,0.0319
0.4137,16.92444387,14.86851409,16.42089716,0.0643008,0.067983466,0.032351111
0.4158,17.11744797,15.09860425,16.6441165,0.0648516,0.0686176,0.032802222
0.4179,17.31933459,15.34383356,16.82352716,0.0656472,0.069382933,0.03306
0.42,17.5606055,15.57349859,17.04036474,0.0662796,0.070366933,0.033607778
0.4221,17.83690659,15.79969804,17.25047656,0.067014,0.071263467,0.034123333
0.4242,17.97639249,16.00375517,17.51155764,0.0679116,0.0717664,0.034381111
0.4263,18.24549406,16.29087707,17.69118222,0.0684216,0.0727504,0.034606667
0.4284,18.52116986,16.50873462,17.97007184,0.0692172,0.073712534,0.034896667
0.4305,18.7211499,16.77321668,18.16682291,0.0699516,0.0743248,0.03538
0.4326,18.95968928,16.97054177,18.40503415,0.0707268,0.075330667,0.035637778
0.4347,19.14196673,17.1637216,18.61512504,0.0715836,0.076139734,0.035992222
0.4368,19.41413204,17.47288801,18.90081097,0.0721752,0.076970667,0.036378889
0.4389,19.65444378,17.70782277,19.09218585,0.0729912,0.077976534,0.036636667
0.441,19.89332491,17.87468878,19.35971007,0.073848,0.078807467,0.03712
0.4431,20.03365343,18.15400706,19.57231627,0.0745008,0.0801632,0.037442222
0.4452,20.31093817,18.34425833,19.79034871,0.0751944,0.080709867,0.037796667
0.4473,20.52999965,18.63277963,20.11610647,0.0763164,0.081365867,0.038183333
0.4494,20.78945452,18.87333679,20.33157574,0.07701,0.082502933,0.038537778
0.4515,21.03715365,19.10894449,20.51898795,0.077928,0.0825904,0.038956667
0.4536,21.23035343,19.34377347,20.87266019,0.0786828,0.0843616,0.03944
0.4557,21.46032779,19.59717878,21.09331442,0.0796008,0.084864533,0.039697778
0.4578,21.71103563,19.83215544,21.28846564,0.0802944,0.0857392,0.040213333
0.4599,21.95115635,20.05258133,21.54193947,0.08109,0.0869856,0.040567778
0.462,22.12029189,20.3005099,21.80705077,0.0820488,0.087597867,0.041051111
0.4641,22.35818623,20.5111131,22.02848701,0.0830076,0.088734933,0.041437778
0.4662,22.61460169,20.74965904,22.26087863,0.0839052,0.089762666,0.04176
0.4683,22.84753747,20.99449804,22.52333686,0.0846804,0.091009066,0.042146667
0.4704,23.07295248,21.25620303,22.79136741,0.08568,0.091599466,0.042533333
0.4725,23.34031132,21.4528486,23.00813861,0.0865776,0.092824,0.042984444
0.4746,23.56493447,21.67043444,23.2446715,0.0873324,0.093501867,0.0435
0.4767,23.87038164,21.95765141,23.55838062,0.0884544,0.095819733,0.043983333
0.4788,24.08396789,22.1617256,23.81916883,0.0890256,0.0953824,0.044337778
0.4809,24.2586569,22.3799274,24.03430944,0.0899028,0.097437866,0.044724444
0.483,24.53150932,22.67084543,24.20960695,0.0908616,0.0974816,0.045272222
0.4851,24.86465641,22.8616019,24.4543066,0.0918,0.098487467,0.045981111
0.4872,25.11005733,23.14544456,24.74339881,0.0925956,0.0999088,0.046528889
0.4893,25.31029688,23.4055089,24.8912267,0.0935748,0.100849067,0.04727
0.4914,25.58574758,23.58778795,25.25076853,0.094758,0.1025984,0.048172222
0.4935,25.95036542,23.8751967,25.47714763,0.0954312,0.1031232,0.048848889
0.4956,26.24333719,24.17241564,25.70158431,0.0966552,0.104194667,0.049815556
0.4977,26.40817607,24.41650902,25.98336485,0.0973896,0.104522666,0.050717778
0.4998,26.58550669,24.65567149,26.2200859,0.09843,0.106118933,0.051491111
0.5019,27.00182774,24.92005634,26.43653069,0.0992052,0.106425067,0.052425556
0.504,27.23852884,25.19411578,26.72807888,0.1004904,0.108349333,0.053617778
0.5061,27.52778422,25.42854683,27.0090159,0.101286,0.108874133,0.054584444
0.5082,27.82922292,25.73663251,27.22315071,0.1024896,0.110492266,0.055551111
0.5103,28.09151905,25.91741471,27.59155862,0.1032852,0.1109296,0.056324444
0.5124,28.28927465,26.13816645,27.7727147,0.1044072,0.112591467,0.057291111
0.5145,28.63091765,26.45350125,28.1104502,0.1051008,0.113138133,0.05829
0.5166,28.87490167,26.68896406,28.39863003,0.1058352,0.114472,0.059578889
0.5187,29.12250754,26.96401487,28.66364884,0.1071,0.116199467,0.060384444
0.5208,29.43981793,27.23099419,28.92337547,0.107814,0.117139733,0.061222222
0.5229,29.700903,27.49188969,29.22266641,0.1088748,0.117926933,0.062221111
0.525,30.03956427,27.71903616,29.52320669,0.1098948,0.1198512,0.063348889
0.5271,30.28002225,28.02155474,29.81182152,0.1110168,0.1209008,0.064476667
0.5292,30.51354452,28.22966325,30.08836762,0.112098,0.122344,0.065507778
0.5313,30.87488781,28.47824932,30.32260545,0.1131384,0.1235248,0.066216667
0.5334,31.08588232,28.79492907,30.65670126,0.1144236,0.125405333,0.067376667
